	Topic	TopicPassageCount	TopicVotesSum	MeanPassageVotes
8	a healthy marriage	99	7015	70.85858585858585
15	a tenth	49	3089	63.04081632653061
18	abandentment	8	767	95.875
20	abandonment	115	8742	76.01739130434783
22	abigail	32	2095	65.46875
25	abishag	8	606	75.75
26	abomination	646	383052	592.9597523219815
27	abortion	207	24594	118.81159420289855
29	abraham	343	62583	182.45772594752188
36	abstinence	32	2146	67.0625
37	abundance	186	23915	128.5752688172043
40	abuse	191	13935	72.95811518324608
50	accepting christ	214	23018	107.5607476635514
54	accidents	123	29736	241.7560975609756
56	accountability	113	9901	87.61946902654867
67	actions	199	60773	305.39195979899495
75	addiction	204	19895	97.52450980392157
77	adding to the bible	125	9731	77.848
84	adoption	138	30069	217.8913043478261
91	adultery	340	123711	363.8558823529412
92	adultery and divorce	135	7987	59.162962962962965
100	adversity	180	91083	506.01666666666665
101	advice	158	32432	205.26582278481013
112	after life	3	175	58.333333333333336
113	afterlife	125	24259	194.072
115	agape love	115	6438	55.982608695652175
126	aging	102	6092	59.72549019607843
137	alcohol	131	11596	88.51908396946565
146	aliens	135	11341	84.00740740740741
149	all things are possible	58	3456	59.58620689655172
164	an adultress	174	44986	258.5402298850575
177	anger	160	31607	197.54375
178	anger and forgiveness	50	3144	62.88
179	anger management	108	17116	158.4814814814815
184	animal cruelty	107	11262	105.25233644859813
186	animal rights	114	6573	57.6578947368421
189	animal testing	16	1007	62.9375
190	animals	247	36497	147.76113360323887
196	animals in heaven	105	7906	75.29523809523809
210	anointing with oil	188	14119	75.10106382978724
216	answered prayer	190	12967	68.24736842105263
223	anxiety	204	74491	365.1519607843137
224	anxiety and depression	141	21617	153.31205673758865
225	anxious	214	53438	249.71028037383178
230	apologizing	51	3178	62.31372549019608
252	arguing	426	162958	382.53051643192487
253	arguments	127	12894	101.5275590551181
255	arianism	190	23414	123.23157894736842
257	armageddon	135	17729	131.32592592592593
258	armor	140	14260	101.85714285714286
261	armor-bearer	52	15149	291.3269230769231
264	arrogance	121	6818	56.34710743801653
274	ask	269	25991	96.62081784386618
275	ask and you shall receive	125	9690	77.52
279	asking for forgiveness	194	68075	350.9020618556701
288	assumption	154	94420	613.1168831168832
289	assurance	240	83044	346.01666666666665
290	assurance of salvation	222	15256	68.72072072072072
296	astrology	107	15226	142.29906542056074
