Index	Topic	StartVerseId	EndVerseId	Votes	PassageLength	UsableRange	VotesPercentage
191397	helping others	50002004		24420	1	False	0.02943846312416594
191398	helping others	58013016		23916	1	False	0.028830887963863745
191399	helping others	48006002		23261	1	False	0.028041281356724977
191400	helping others	20019017		22118	1	False	0.026663387689611066
191401	helping others	42006038		21705	1	False	0.02616551359991899
191402	helping others	44020035		20594	1	False	0.02482619613345919
191403	helping others	59002014	59002017	19452	4	True	0.02344950797261572
191404	helping others	62003017		19449	1	False	0.023445891453804397
191405	helping others	20022009		19435	1	False	0.023429014366018224
191406	helping others	40005016		18742	1	False	0.022593598520602706
191407	helping others	40005042		18040	1	False	0.021747333118753216
210840	immigration	03019033	03019034	19080	2	True	0.044351567530375474
210841	immigration	02022021		12943	1	False	0.030086076443692336
210842	immigration	02023009		10867	1	False	0.02526040274384645
210843	immigration	40025035		10510	1	False	0.024430554231878735
210844	immigration	05027019		10020	1	False	0.02329154647035442
210845	immigration	39003005		9644	1	False	0.022417532351307185
110289	eating pork	03011001	03011047	14269	47	True	0.03068912341677546
110290	eating pork	03011007	03011008	11279	2	True	0.024258365899348967
110291	eating pork	23066017		10945	1	False	0.023540013721817042
110292	eating pork	05014008		10519	1	False	0.02262379208221046
110293	eating pork	03011007		10013	1	False	0.021535510040799823
110294	eating pork	45014001	45014023	9309	23	True	0.020021378504924154
377621	sodomy	03018022		11438	1	False	0.023907763438972288
377622	sodomy	65001007		11327	1	False	0.023675750697083327
377623	sodomy	03020013		9792	1	False	0.020467286203393657
31292	being born again	43003003		6487	1	False	0.024829006342171035
31293	being born again	60001023		5983	1	False	0.022899945266719485
31294	being born again	47005017		5441	1	False	0.020825439110182305
316066	power of words	20018021		17969	1	False	0.025333605904454423
316067	power of words	49004029		17042	1	False	0.02402667437385009
316068	power of words	20012018		15328	1	False	0.021610190400327085
197085	homosexuality	03018022		16908	1	False	0.05854266572027076
197086	homosexuality	03020013		16448	1	False	0.05694995066045739
197087	homosexuality	46006009	46006011	10037	3	True	0.034752350120319235
197088	homosexuality	45001026	45001027	9606	2	True	0.033260045357754967
197089	homosexuality	65001007		9089	1	False	0.03146997212748645
197090	homosexuality	46006009	46006010	8087	2	True	0.028000623236327755
197091	homosexuality	46006009		6475	1	False	0.022419195678894794
197092	homosexuality	54001010		6286	1	False	0.02176479753475408
197093	homosexuality	45001027		6192	1	False	0.02143932967470526
197094	homosexuality	45001026	45001028	5984	3	True	0.02071914547374617
374838	slavery	48003028		11309	1	False	0.02335436306751887
374839	slavery	48005001		10311	1	False	0.021293380280235835
374840	slavery	51004001		10153	1	False	0.02096709242413291
374841	slavery	02021016		10006	1	False	0.02066352081117639
374842	slavery	56002009	56002010	9793	2	True	0.020223651739341434
176029	gossip	20016028		13715	1	False	0.0365975365041414
176030	gossip	20020019		12449	1	False	0.03321930236529758
176031	gossip	20011013		12437	1	False	0.03318728118862608
176032	gossip	49004029		12277	1	False	0.03276033216633934
176033	gossip	20026020		10877	1	False	0.02902452822133037
176034	gossip	03019016		8977	1	False	0.02395450858167535
176035	gossip	20018008		8354	1	False	0.022292075826146358
176036	gossip	19034013		7801	1	False	0.020816433267867817
176037	gossip	20010018		7524	1	False	0.0200772777730339
413299	the moon	19008003		5271	1	False	0.022877604166666666
413300	the moon	19089037		4827	1	False	0.020950520833333333
255595	lust	40005028		19658	1	False	0.029068873326077698
255596	lust	62002016		18518	1	False	0.027383121184876732
255597	lust	48005016		16406	1	False	0.024260043533809682
255598	lust	51003005		14934	1	False	0.022083353049732645
255599	lust	55002022		14660	1	False	0.021678181043865045
267334	medium	03019031		12538	1	False	0.04461858194189407
267335	medium	03020006		10922	1	False	0.03886777412421175
267336	medium	03020027		9157	1	False	0.032586724744131754
267337	medium	23008019		8320	1	False	0.029608119457374273
267338	medium	12021006		6685	1	False	0.023789696943815747
267339	medium	13010013	13010014	6659	2	True	0.02369717157051145
267340	medium	66021008		5856	1	False	0.020839561002690354
267341	medium	05018009	05018014	5833	6	True	0.020757711633998092
267342	medium	14033006		5632	1	False	0.020042419324991814
143837	forgiveness of sins	62001009		10568	1	False	0.029521449702075833
143838	forgiveness of sins	51003013		8518	1	False	0.02379482480718035
143839	forgiveness of sins	41011025		8127	1	False	0.02270257586381248
143840	forgiveness of sins	44002038		7953	1	False	0.022216511116635983
143841	forgiveness of sins	49001007		7583	1	False	0.021182925159996313
67901	church leadership	58013017		8379	1	False	0.022550563158532155
67902	church leadership	58013007		8376	1	False	0.02254248920108191
67903	church leadership	44020028		8163	1	False	0.02196923822211457
343794	repentance	44003019		15689	1	False	0.03144882274883037
343795	repentance	40004017		13286	1	False	0.026631975208168797
343796	repentance	61003009		13179	1	False	0.026417492192417322
343797	repentance	44002038		12149	1	False	0.024352842601538666
343798	repentance	14007014		12033	1	False	0.024120318958294078
343799	repentance	40003008		11590	1	False	0.023232319182799666
343800	repentance	44017030		11094	1	False	0.022238080156512467
343801	repentance	42013003		10360	1	False	0.020766766758740684
343802	repentance	62001009		10322	1	False	0.02069059522043642
199048	hope	45015013		14103	1	False	0.03272446294568895
199049	hope	24029011		13417	1	False	0.031132675270673517
199050	hope	23040031		10670	1	False	0.024758563400021347
199051	hope	58011001		10052	1	False	0.023324562258389372
199052	hope	45012012		9683	1	False	0.022468338275764454
103117	dreams and visions	29002028		12952	1	False	0.032921392296312864
103118	dreams and visions	44002017		10256	1	False	0.02606869976767949
103119	dreams and visions	04012006		9779	1	False	0.024856261215692056
323541	pride	20011002		14911	1	False	0.030070684561322135
323542	pride	20029023		14731	1	False	0.02970768253456082
323543	pride	20008013		14212	1	False	0.028661026690732356
323544	pride	20016018		12867	1	False	0.025948594879654743
323545	pride	59004006		11037	1	False	0.02225807427424803
323546	pride	45012016		10847	1	False	0.021874905468222197
323547	pride	20016005		10599	1	False	0.02137476934246216
336517	real love	45005005		2996	1	False	0.030891056441135833
336518	real love	43013034		2704	1	False	0.027880312622440354
336519	real love	45013010		2668	1	False	0.02750912502835461
336520	real love	62005003		2649	1	False	0.027313220464809353
336521	real love	62004008		2239	1	False	0.023085806198832822
336522	real love	46013005		1997	1	False	0.02059060070525643
336523	real love	43003016		1964	1	False	0.02025034541067783
336524	real love	43006055	43006059	1964	5	True	0.02025034541067783
400573	telling the truth	43014006		8394	1	False	0.02638253736268917
400574	telling the truth	20012022		7875	1	False	0.02475130828343784
400575	telling the truth	55002015		7095	1	False	0.02229975012964971
400576	telling the truth	49004015		6613	1	False	0.02078481291153961
400577	telling the truth	43008044		6461	1	False	0.020307073373878333
227369	judging other christians	40007001		4615	1	False	0.029449113336013424
227370	judging other christians	40007001	40007005	4376	5	True	0.027924012992068203
227371	judging other christians	43007024		3734	1	False	0.02382729993427392
227372	judging other christians	42006037		3644	1	False	0.023252994365424252
79686	cosigning a loan	20017018		4746	1	False	0.04663502638327978
79687	cosigning a loan	20011015		3512	1	False	0.034509526476628444
79688	cosigning a loan	20022026	20022027	2770	2	True	0.027218504652693844
79689	cosigning a loan	20022007		2214	1	False	0.021755151372225334
79690	cosigning a loan	20006001	20006005	2197	5	True	0.02158810639782252
79691	cosigning a loan	19037021		2059	1	False	0.020232094252670262
204406	humility	20022004		10543	1	False	0.02490933361685036
204407	humility	20011002		10073	1	False	0.023798891920946003
204408	humility	59004010		9456	1	False	0.022341141864833255
204409	humility	51003012		9219	1	False	0.021781195733068717
204410	humility	33006008		8786	1	False	0.020758171787693
259801	man as head of household	46011003		4757	1	False	0.02531315517810202
20500	babylon	66017001	66017018	10579	18	True	0.028101632333213798
20501	babylon	66018001	66018024	8496	24	True	0.022568434474239948
20502	babylon	01010010		7987	1	False	0.021216347239377882
20503	babylon	66016019		7651	1	False	0.02032381028276952
427035	trespassing	03006005		8896	1	False	0.02124798471368006
74523	complaining	50002014		9203	1	False	0.03385571864768421
74524	complaining	59005009		6969	1	False	0.02563734687120627
74525	complaining	60004009		6582	1	False	0.02421366295110915
74526	complaining	46010010		6492	1	False	0.023882573667365632
74527	complaining	52005018		6292	1	False	0.023146819703491153
74528	complaining	49004029		5604	1	False	0.02061582606776294
243956	lions	66005005		4117	1	False	0.025567299690733174
243957	lions	60005008		3745	1	False	0.023257113758026655
243958	lions	20028001		3253	1	False	0.02020170655670513
243959	lions	28011010		3248	1	False	0.020170655670512835
207605	hyssop	19051007		3012	1	False	0.07380001470119815
207606	hyssop	02012022		2794	1	False	0.068458579374219
207607	hyssop	11004033		2324	1	False	0.05694264082522726
207608	hyssop	03014004		2181	1	False	0.053438855266704235
207609	hyssop	03014052		1757	1	False	0.04305000857569892
207610	hyssop	43019029		1754	1	False	0.04297650258496068
207611	hyssop	04019006		1539	1	False	0.03770857324871977
207612	hyssop	03014006		1377	1	False	0.03373924974885453
207613	hyssop	04019018		1368	1	False	0.0335187317766398
207614	hyssop	58009019		1343	1	False	0.03290618185382109
207615	hyssop	43019028	43019030	1213	3	True	0.029720922255163797
207616	hyssop	03014051		1196	1	False	0.02930438830764707
207617	hyssop	43019029	43019030	1000	2	True	0.02450199691274839
207618	hyssop	58011001	58011040	934	40	True	0.022884865116506996
273932	money	58013005		10074	1	False	0.023509095364222955
273933	money	54006010		9890	1	False	0.023079705494556783
273934	money	20013011		9412	1	False	0.021964225289663138
273935	money	40006024		8723	1	False	0.020356346919011004
273936	money	21005010		8578	1	False	0.020017969032589292
67183	church discipline	48006001		3732	1	False	0.020840080858620266
246740	loneliness	23041010		6687	1	False	0.037035806264019276
246741	loneliness	19027010		6484	1	False	0.035911495112292656
246742	loneliness	40028020		5917	1	False	0.03277117775747002
246743	loneliness	05031006		5742	1	False	0.031801944005981554
246744	loneliness	60005007		5308	1	False	0.029398244302290162
246745	loneliness	19023004		4741	1	False	0.026257926947467532
246746	loneliness	01002018		4269	1	False	0.02364376505773864
240920	leviathan	18041001	18041034	8845	34	True	0.05100128584361143
240921	leviathan	23027001		8410	1	False	0.04849302588408956
240922	leviathan	19074014		7388	1	False	0.042600056507925525
240923	leviathan	18041001		7067	1	False	0.04074913364124386
240924	leviathan	19104026		6792	1	False	0.03916345205763808
240925	leviathan	18003008		6252	1	False	0.036049750038921274
192436	helping the poor	20019017		9187	1	False	0.028419408225449708
192437	helping the poor	20022009		8254	1	False	0.02553323124990333
192438	helping the poor	20014031		8030	1	False	0.024840301300790374
192439	helping the poor	05015011		6470	1	False	0.02001453915518228
381137	speaking the truth in love	49004015		16244	1	False	0.0431925931243901
381138	speaking the truth in love	43014006		8614	1	False	0.022904518417476993
